Planning Area,Subzone,Age Group,Floor Area,2024
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,> 60 - 80,10
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,> 80 - 100,50
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,> 100 - 120,190
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,> 120,40
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Total*,270
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,> 60 - 80,10
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,> 80 - 100,30
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,> 100 - 120,180
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,> 120,50
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Total*,290
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,> 60 - 80,10
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,> 80 - 100,40
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,> 100 - 120,170
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,> 120,60
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Total*,270
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,> 60 - 80,30
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,> 80 - 100,70
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,> 100 - 120,140
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,> 120,40
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Total*,300
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,> 60 - 80,30
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,> 80 - 100,90
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,> 100 - 120,160
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,> 120,20
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Total*,420
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,> 60 - 80,20
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,> 80 - 100,100
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,> 100 - 120,240
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,> 120,50
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,Total*,410
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,> 60 - 80,20
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,> 80 - 100,80
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,> 100 - 120,270
Ang Mo Kio,Ang Mo Kio Town Centre,45 - 49,> 120,30
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,Total*,430
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,> 60 - 80,20
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,> 80 - 100,90
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,> 100 - 120,260
Ang Mo Kio,Ang Mo Kio Town Centre,50 - 54,> 120,60
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,Total*,320
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,> 60 - 80,20
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,> 80 - 100,50
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,> 100 - 120,190
Ang Mo Kio,Ang Mo Kio Town Centre,55 - 59,> 120,50
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,Total*,310
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,> 60 - 80,30
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,> 80 - 100,60
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,> 100 - 120,170
Ang Mo Kio,Ang Mo Kio Town Centre,60 - 64,> 120,40
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,Total*,260
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,> 60 - 80,30
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,> 80 - 100,60
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,> 100 - 120,140
Ang Mo Kio,Ang Mo Kio Town Centre,65 - 69,> 120,40
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,Total*,250
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,> 60 - 80,20
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,> 80 - 100,60
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,> 100 - 120,160
Ang Mo Kio,Ang Mo Kio Town Centre,70 - 74,> 120,20
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,Total*,190
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,> 60 - 80,10
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,> 80 - 100,30
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,> 100 - 120,130
Ang Mo Kio,Ang Mo Kio Town Centre,75 - 79,> 120,10
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,Total*,120
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,> 60 - 80,10
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,> 80 - 100,30
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,> 100 - 120,70
Ang Mo Kio,Ang Mo Kio Town Centre,80 - 84,> 120,10
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,Total*,50
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,> 60 - 80,-
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,> 80 - 100,10
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,> 100 - 120,30
Ang Mo Kio,Ang Mo Kio Town Centre,85 - 89,> 120,10
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,Total*,40
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,≤ 60,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,> 60 - 80,-
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,> 80 - 100,10
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,> 100 - 120,20
Ang Mo Kio,Ang Mo Kio Town Centre,90 & Over,> 120,-
Ang Mo Kio,Cheng San,Total,Total*,26970
Ang Mo Kio,Cheng San,Total,≤ 60,950
Ang Mo Kio,Cheng San,Total,> 60 - 80,10330
Ang Mo Kio,Cheng San,Total,> 80 - 100,10870
Ang Mo Kio,Cheng San,Total,> 100 - 120,3990
Ang Mo Kio,Cheng San,Total,> 120,740
Ang Mo Kio,Cheng San,0 - 4,Total*,770
Ang Mo Kio,Cheng San,0 - 4,≤ 60,40
Ang Mo Kio,Cheng San,0 - 4,> 60 - 80,240
Ang Mo Kio,Cheng San,0 - 4,> 80 - 100,330
Ang Mo Kio,Cheng San,0 - 4,> 100 - 120,130
Ang Mo Kio,Cheng San,0 - 4,> 120,30
Ang Mo Kio,Cheng San,5 - 9,Total*,960
Ang Mo Kio,Cheng San,5 - 9,≤ 60,40
Ang Mo Kio,Cheng San,5 - 9,> 60 - 80,270
Ang Mo Kio,Cheng San,5 - 9,> 80 - 100,420
Ang Mo Kio,Cheng San,5 - 9,> 100 - 120,200
Ang Mo Kio,Cheng San,5 - 9,> 120,30
Ang Mo Kio,Cheng San,10 - 14,Total*,960
Ang Mo Kio,Cheng San,10 - 14,≤ 60,30
Ang Mo Kio,Cheng San,10 - 14,> 60 - 80,260
Ang Mo Kio,Cheng San,10 - 14,> 80 - 100,390
Ang Mo Kio,Cheng San,10 - 14,> 100 - 120,260
Ang Mo Kio,Cheng San,10 - 14,> 120,20
Ang Mo Kio,Cheng San,15 - 19,Total*,1070
Ang Mo Kio,Cheng San,15 - 19,≤ 60,30
Ang Mo Kio,Cheng San,15 - 19,> 60 - 80,350
Ang Mo Kio,Cheng San,15 - 19,> 80 - 100,420
Ang Mo Kio,Cheng San,15 - 19,> 100 - 120,230
Ang Mo Kio,Cheng San,15 - 19,> 120,50
Ang Mo Kio,Cheng San,20 - 24,Total*,1190
Ang Mo Kio,Cheng San,20 - 24,≤ 60,60
Ang Mo Kio,Cheng San,20 - 24,> 60 - 80,450
Ang Mo Kio,Cheng San,20 - 24,> 80 - 100,430
Ang Mo Kio,Cheng San,20 - 24,> 100 - 120,220
Ang Mo Kio,Cheng San,20 - 24,> 120,40
Ang Mo Kio,Cheng San,25 - 29,Total*,1470
Ang Mo Kio,Cheng San,25 - 29,≤ 60,50
Ang Mo Kio,Cheng San,25 - 29,> 60 - 80,560
Ang Mo Kio,Cheng San,25 - 29,> 80 - 100,580
Ang Mo Kio,Cheng San,25 - 29,> 100 - 120,220
Ang Mo Kio,Cheng San,25 - 29,> 120,50
Ang Mo Kio,Cheng San,30 - 34,Total*,1880
Ang Mo Kio,Cheng San,30 - 34,≤ 60,50
Ang Mo Kio,Cheng San,30 - 34,> 60 - 80,690
Ang Mo Kio,Cheng San,30 - 34,> 80 - 100,820
Ang Mo Kio,Cheng San,30 - 34,> 100 - 120,250
Ang Mo Kio,Cheng San,30 - 34,> 120,60
Ang Mo Kio,Cheng San,35 - 39,Total*,1800
Ang Mo Kio,Cheng San,35 - 39,≤ 60,40
Ang Mo Kio,Cheng San,35 - 39,> 60 - 80,610
Ang Mo Kio,Cheng San,35 - 39,> 80 - 100,830
Ang Mo Kio,Cheng San,35 - 39,> 100 - 120,250
Ang Mo Kio,Cheng San,35 - 39,> 120,50
Ang Mo Kio,Cheng San,40 - 44,Total*,2070
Ang Mo Kio,Cheng San,40 - 44,≤ 60,40
Ang Mo Kio,Cheng San,40 - 44,> 60 - 80,760
Ang Mo Kio,Cheng San,40 - 44,> 80 - 100,850
Ang Mo Kio,Cheng San,40 - 44,> 100 - 120,370
Ang Mo Kio,Cheng San,40 - 44,> 120,50
Ang Mo Kio,Cheng San,45 - 49,Total*,1890
Ang Mo Kio,Cheng San,45 - 49,≤ 60,40
Ang Mo Kio,Cheng San,45 - 49,> 60 - 80,730
Ang Mo Kio,Cheng San,45 - 49,> 80 - 100,720
Ang Mo Kio,Cheng San,45 - 49,> 100 - 120,350
Ang Mo Kio,Cheng San,45 - 49,> 120,50
Ang Mo Kio,Cheng San,50 - 54,Total*,2070
Ang Mo Kio,Cheng San,50 - 54,≤ 60,50
Ang Mo Kio,Cheng San,50 - 54,> 60 - 80,870
Ang Mo Kio,Cheng San,50 - 54,> 80 - 100,780
Ang Mo Kio,Cheng San,50 - 54,> 100 - 120,320
Ang Mo Kio,Cheng San,50 - 54,> 120,40
Ang Mo Kio,Cheng San,55 - 59,Total*,2020
Ang Mo Kio,Cheng San,55 - 59,≤ 60,60
Ang Mo Kio,Cheng San,55 - 59,> 60 - 80,900
Ang Mo Kio,Cheng San,55 - 59,> 80 - 100,760
Ang Mo Kio,Cheng San,55 - 59,> 100 - 120,250
Ang Mo Kio,Cheng San,55 - 59,> 120,40
Ang Mo Kio,Cheng San,60 - 64,Total*,2050
Ang Mo Kio,Cheng San,60 - 64,≤ 60,70
Ang Mo Kio,Cheng San,60 - 64,> 60 - 80,880
Ang Mo Kio,Cheng San,60 - 64,> 80 - 100,820
Ang Mo Kio,Cheng San,60 - 64,> 100 - 120,220
Ang Mo Kio,Cheng San,60 - 64,> 120,50
Ang Mo Kio,Cheng San,65 - 69,Total*,2020
Ang Mo Kio,Cheng San,65 - 69,≤ 60,110
Ang Mo Kio,Cheng San,65 - 69,> 60 - 80,870
Ang Mo Kio,Cheng San,65 - 69,> 80 - 100,770
Ang Mo Kio,Cheng San,65 - 69,> 100 - 120,210
Ang Mo Kio,Cheng San,65 - 69,> 120,60
Ang Mo Kio,Cheng San,70 - 74,Total*,1960
Ang Mo Kio,Cheng San,70 - 74,≤ 60,110
Ang Mo Kio,Cheng San,70 - 74,> 60 - 80,780
Ang Mo Kio,Cheng San,70 - 74,> 80 - 100,780
Ang Mo Kio,Cheng San,70 - 74,> 100 - 120,220
Ang Mo Kio,Cheng San,70 - 74,> 120,60
Ang Mo Kio,Cheng San,75 - 79,Total*,1360
Ang Mo Kio,Cheng San,75 - 79,≤ 60,60
Ang Mo Kio,Cheng San,75 - 79,> 60 - 80,580
Ang Mo Kio,Cheng San,75 - 79,> 80 - 100,540
Ang Mo Kio,Cheng San,75 - 79,> 100 - 120,140
Ang Mo Kio,Cheng San,75 - 79,> 120,30
Ang Mo Kio,Cheng San,80 - 84,Total*,820
Ang Mo Kio,Cheng San,80 - 84,≤ 60,30
Ang Mo Kio,Cheng San,80 - 84,> 60 - 80,320
Ang Mo Kio,Cheng San,80 - 84,> 80 - 100,360
Ang Mo Kio,Cheng San,80 - 84,> 100 - 120,80
Ang Mo Kio,Cheng San,80 - 84,> 120,20
Ang Mo Kio,Cheng San,85 - 89,Total*,390
