Planning Area,Subzone,Age Group,Type of Dwelling,2024
Total,Total,70 - 74,1- and 2-Room Flats*,17580
Total,Total,70 - 74,3-Room Flats,38560
Total,Total,70 - 74,4-Room Flats,65180
Total,Total,70 - 74,5-Room and Executive Flats,47980
Total,Total,70 - 74,Condominiums and Other Apartments,18700
Total,Total,70 - 74,Landed Properties,15150
Total,Total,70 - 74,Others,3380
Total,Total,75 - 79,Total,134610
Total,Total,75 - 79,Total HDB^,107970
Total,Total,75 - 79,1- and 2-Room Flats*,11550
Total,Total,75 - 79,3-Room Flats,27440
Total,Total,75 - 79,4-Room Flats,39980
Total,Total,75 - 79,5-Room and Executive Flats,28990
Total,Total,75 - 79,Condominiums and Other Apartments,12270
Total,Total,75 - 79,Landed Properties,11110
Total,Total,75 - 79,Others,3260
Total,Total,80 - 84,Total,77540
Total,Total,80 - 84,Total HDB^,61260
Total,Total,80 - 84,1- and 2-Room Flats*,6310
Total,Total,80 - 84,3-Room Flats,16930
Total,Total,80 - 84,4-Room Flats,22410
Total,Total,80 - 84,5-Room and Executive Flats,15600
Total,Total,80 - 84,Condominiums and Other Apartments,6210
Total,Total,80 - 84,Landed Properties,6870
Total,Total,80 - 84,Others,3210
Total,Total,85 - 89,Total,43910
Total,Total,85 - 89,Total HDB^,33330
Total,Total,85 - 89,1- and 2-Room Flats*,3380
Total,Total,85 - 89,3-Room Flats,9710
Total,Total,85 - 89,4-Room Flats,11840
Total,Total,85 - 89,5-Room and Executive Flats,8390
Total,Total,85 - 89,Condominiums and Other Apartments,3370
Total,Total,85 - 89,Landed Properties,4380
Total,Total,85 - 89,Others,2830
Total,Total,90 & Over,Total,25160
Total,Total,90 & Over,Total HDB^,17510
Total,Total,90 & Over,1- and 2-Room Flats*,1820
Total,Total,90 & Over,3-Room Flats,4810
Total,Total,90 & Over,4-Room Flats,6480
Total,Total,90 & Over,5-Room and Executive Flats,4390
Total,Total,90 & Over,Condominiums and Other Apartments,1680
Total,Total,90 & Over,Landed Properties,2980
Total,Total,90 & Over,Others,2990
Ang Mo Kio,Total,Total,Total,159340
Ang Mo Kio,Total,Total,Total HDB^,127280
Ang Mo Kio,Total,Total,1- and 2-Room Flats*,11080
Ang Mo Kio,Total,Total,3-Room Flats,53160
Ang Mo Kio,Total,Total,4-Room Flats,41550
Ang Mo Kio,Total,Total,5-Room and Executive Flats,21490
Ang Mo Kio,Total,Total,Condominiums and Other Apartments,14520
Ang Mo Kio,Total,Total,Landed Properties,15940
Ang Mo Kio,Total,Total,Others,1600
Ang Mo Kio,Total,0 - 4,Total,4430
Ang Mo Kio,Total,0 - 4,Total HDB^,3530
Ang Mo Kio,Total,0 - 4,1- and 2-Room Flats*,580
Ang Mo Kio,Total,0 - 4,3-Room Flats,990
Ang Mo Kio,Total,0 - 4,4-Room Flats,1260
Ang Mo Kio,Total,0 - 4,5-Room and Executive Flats,710
Ang Mo Kio,Total,0 - 4,Condominiums and Other Apartments,450
Ang Mo Kio,Total,0 - 4,Landed Properties,430
Ang Mo Kio,Total,0 - 4,Others,10
Ang Mo Kio,Total,5 - 9,Total,5880
Ang Mo Kio,Total,5 - 9,Total HDB^,4210
Ang Mo Kio,Total,5 - 9,1- and 2-Room Flats*,510
Ang Mo Kio,Total,5 - 9,3-Room Flats,1200
Ang Mo Kio,Total,5 - 9,4-Room Flats,1500
Ang Mo Kio,Total,5 - 9,5-Room and Executive Flats,1000
Ang Mo Kio,Total,5 - 9,Condominiums and Other Apartments,920
Ang Mo Kio,Total,5 - 9,Landed Properties,720
Ang Mo Kio,Total,5 - 9,Others,30
Ang Mo Kio,Total,10 - 14,Total,6430
Ang Mo Kio,Total,10 - 14,Total HDB^,4630
Ang Mo Kio,Total,10 - 14,1- and 2-Room Flats*,460
Ang Mo Kio,Total,10 - 14,3-Room Flats,1510
Ang Mo Kio,Total,10 - 14,4-Room Flats,1500
Ang Mo Kio,Total,10 - 14,5-Room and Executive Flats,1170
Ang Mo Kio,Total,10 - 14,Condominiums and Other Apartments,1000
Ang Mo Kio,Total,10 - 14,Landed Properties,790
Ang Mo Kio,Total,10 - 14,Others,20
Ang Mo Kio,Total,15 - 19,Total,7340
Ang Mo Kio,Total,15 - 19,Total HDB^,5350
Ang Mo Kio,Total,15 - 19,1- and 2-Room Flats*,560
Ang Mo Kio,Total,15 - 19,3-Room Flats,1870
Ang Mo Kio,Total,15 - 19,4-Room Flats,1710
Ang Mo Kio,Total,15 - 19,5-Room and Executive Flats,1200
Ang Mo Kio,Total,15 - 19,Condominiums and Other Apartments,980
Ang Mo Kio,Total,15 - 19,Landed Properties,990
Ang Mo Kio,Total,15 - 19,Others,20
Ang Mo Kio,Total,20 - 24,Total,7850
Ang Mo Kio,Total,20 - 24,Total HDB^,5840
Ang Mo Kio,Total,20 - 24,1- and 2-Room Flats*,660
Ang Mo Kio,Total,20 - 24,3-Room Flats,2180
Ang Mo Kio,Total,20 - 24,4-Room Flats,1900
Ang Mo Kio,Total,20 - 24,5-Room and Executive Flats,1100
Ang Mo Kio,Total,20 - 24,Condominiums and Other Apartments,960
Ang Mo Kio,Total,20 - 24,Landed Properties,1030
Ang Mo Kio,Total,20 - 24,Others,20
Ang Mo Kio,Total,25 - 29,Total,9230
Ang Mo Kio,Total,25 - 29,Total HDB^,7270
Ang Mo Kio,Total,25 - 29,1- and 2-Room Flats*,690
Ang Mo Kio,Total,25 - 29,3-Room Flats,2690
Ang Mo Kio,Total,25 - 29,4-Room Flats,2600
Ang Mo Kio,Total,25 - 29,5-Room and Executive Flats,1290
Ang Mo Kio,Total,25 - 29,Condominiums and Other Apartments,850
Ang Mo Kio,Total,25 - 29,Landed Properties,1070
Ang Mo Kio,Total,25 - 29,Others,50
Ang Mo Kio,Total,30 - 34,Total,10270
Ang Mo Kio,Total,30 - 34,Total HDB^,8440
Ang Mo Kio,Total,30 - 34,1- and 2-Room Flats*,620
Ang Mo Kio,Total,30 - 34,3-Room Flats,3210
Ang Mo Kio,Total,30 - 34,4-Room Flats,3050
Ang Mo Kio,Total,30 - 34,5-Room and Executive Flats,1560
